日期,销量
2021/1/1,3023
2021/1/2,3039
2021/1/3,3056
2021/1/4,3138
2021/1/5,3188
2021/1/5,3188
2021/1/6,3224
2021/1/7,3226
2021/1/8,3029
2021/1/8,3029
2021/1/9,2859
2021/1/10,2870
2021/1/11,2910
2021/1/12,3012
2021/1/13,3142
2021/1/14,3252
2021/1/15,3342
2021/1/16,3365
2021/1/17,3339
2021/1/18,3345
2021/1/19,3421
2021/1/20,3443
2021/1/21,3428
2021/1/22,3554
2021/1/23,3615
2021/1/24,3646
2021/1/25,3614
2021/1/26,3574
2021/1/26,3574
2021/1/27,3635
2021/1/28,3738
2021/1/29,3707
2021/1/30,3827
2021/1/31,
2021/1/31,4039
2021/2/1,4210
2021/2/2,4493
2021/2/3,4560
2021/2/4,
2021/2/4,4637
2021/2/5,4755
2021/2/6,4817
